Sample Name	Ct Value	% Coverage at >10x Depth	Passing
ATEZEING5R	26.82	98	TRUE
ATPAVSLTVZ	28.565	98	TRUE
AT0ERFB1HF	28.69	99	TRUE
ATSAO2XRUQ-2	29.385	98	TRUE
ATZJS41EVX	29.765	98	TRUE
AT781XIB54	29.875	98	TRUE
ATPDSVRWH9	29.91	97	TRUE
AT0AWTMMKP	30.065	96	TRUE
ATSAO2XRUQ	30.155	96	TRUE
ATOI9WCZ81	30.925	99	TRUE
ATDDTZIOII	31.255	97	TRUE
ATO4IQDBLG	31.44	99	TRUE
AT76LFJKEJ	31.84	95	TRUE
AT7LKS02ZY	31.945	98	TRUE
ATMBVXFJQN	32.35	98	TRUE
ATHVKKGPO2	32.36	99	TRUE
ATHX4ESJMU	32.38	99	TRUE
AT4G966SRR	32.475	98	TRUE
AT4J6GKZJV	32.635	96	TRUE
AT4C6YKBZZ	32.705	96	TRUE
ATOMINHMVO	32.81	99	TRUE
AT7H83A7O2	33.14	90	TRUE
ATRVT2XAYT	33.23	95	TRUE
ATODO9Q9H0	33.76	95	TRUE
AT05KGLKQ6	34.225	93	TRUE
ATN3EBDCSD	34.925	92	TRUE
ATWXMLXGNP	35.24	99	TRUE
ATJ92HKIPP	35.555	44	FALSE
ATBSWKRXY3	35.65	86	FALSE
ATEEO64Q5W	36.12	87	FALSE
AT25WIBJFT	35.35	94	TRUE
AT5QBZRJ2P	36.21	86	FALSE
ATKOAUDDAH-2	32.83	99	TRUE
ATU0HRPQER	36.1	56	FALSE
ATUB1RTN5L	27.57	97	TRUE
ATXI9FLPF9	35.37	34	FALSE
No_barcode_14	33.76	94	TRUE
No barcode 8	33.405	97	TRUE
No barcode 9	34.24	80	FALSE
30147_AT1F559LBQ_01	36.16	81	FALSE
30147_AT2T3FKNIS_01	31.455	98	TRUE
30147_AT67EY0KZD_01	36.36	73	FALSE
30147_AT7M9SP0UD_01	27.72	94	TRUE
30147_AT85DBPO8X_01	36.77	89	FALSE
30147_ATEJ3VUYVU_01	28.23	94	TRUE
30147_ATF1KO758R_01	35.62	87	FALSE
30147_ATH9QR4BYN_01	29.27	97	TRUE
30147_ATIHCP9JIH_01	32.45	93	TRUE
30147_ATKKB24DOT_01	32.535	88	FALSE
30147_ATM2N85W29_01	34.885	90	TRUE
30147_ATMRYCFWRL_01	34.575	94	TRUE
30147_ATN7ZZTTSN_01	32.355	90	TRUE
30147_ATPHZDSO0Y_01	35.155	87	FALSE
30147_ATR1EVNFS3_01	32.925	82	FALSE
30147_ATTKH7F78W_01	36.24	67	FALSE
30147_ATWB8820OC_01	30.56	93	TRUE
30147_ATWI85964T_01	35.49	78	FALSE
30147_ATXQQQFFSL_01	34.275	84	FALSE
30147_ATXY5LQ12H_01	33.05	99	TRUE
30147_ATYIMJ1U3N_01	35.17	98	TRUE
30147_ATZ2JDFJD1_01	32.795	92	TRUE
